season,week,team,is_bye,opponent,home_away,outcome,games_played,wins,losses,ties,record,win_pct,point_diff,final_wins,final_losses,final_ties,made_playoffs,sb_champion
1999,3,BUF,FALSE,PHI,home,W,3,2,1,0,2-1,0.6666666666666666,23,11,5,0,TRUE,FALSE
1999,4,BUF,FALSE,MIA,away,W,4,3,1,0,3-1,0.75,28,11,5,0,TRUE,FALSE
1999,5,BUF,FALSE,PIT,home,W,5,4,1,0,4-1,0.8,31,11,5,0,TRUE,FALSE
1999,6,BUF,FALSE,OAK,home,L,6,4,2,0,4-2,0.6666666666666666,25,11,5,0,TRUE,FALSE
1999,7,BUF,FALSE,SEA,away,L,7,4,3,0,4-3,0.5714285714285714,15,11,5,0,TRUE,FALSE
1999,8,BUF,FALSE,BAL,away,W,8,5,3,0,5-3,0.625,18,11,5,0,TRUE,FALSE
1999,9,BUF,FALSE,WAS,away,W,9,6,3,0,6-3,0.6666666666666666,35,11,5,0,TRUE,FALSE
1999,10,BUF,FALSE,MIA,home,W,10,7,3,0,7-3,0.7,55,11,5,0,TRUE,FALSE
1999,11,BUF,FALSE,NYJ,away,L,11,7,4,0,7-4,0.6363636363636364,45,11,5,0,TRUE,FALSE
1999,12,BUF,FALSE,NE,home,W,12,8,4,0,8-4,0.6666666666666666,55,11,5,0,TRUE,FALSE
1999,13,BUF,TRUE,NA,NA,NA,12,8,4,0,8-4,0.6666666666666666,55,11,5,0,TRUE,FALSE
1999,14,BUF,FALSE,NYG,home,L,13,8,5,0,8-5,0.6153846153846154,53,11,5,0,TRUE,FALSE
1999,15,BUF,FALSE,ARI,away,W,14,9,5,0,9-5,0.6428571428571429,63,11,5,0,TRUE,FALSE
1999,16,BUF,FALSE,NE,away,W,15,10,5,0,10-5,0.6666666666666666,66,11,5,0,TRUE,FALSE
1999,17,BUF,FALSE,IND,home,W,16,11,5,0,11-5,0.6875,91,11,5,0,TRUE,FALSE
1999,1,CAR,FALSE,NO,away,L,1,0,1,0,0-1,0,-9,8,8,0,FALSE,FALSE
1999,2,CAR,FALSE,JAX,home,L,2,0,2,0,0-2,0,-11,8,8,0,FALSE,FALSE
1999,3,CAR,FALSE,CIN,home,W,3,1,2,0,1-2,0.3333333333333333,13,8,8,0,FALSE,FALSE
1999,4,CAR,FALSE,WAS,away,L,4,1,3,0,1-3,0.25,11,8,8,0,FALSE,FALSE
1999,5,CAR,TRUE,NA,NA,NA,4,1,3,0,1-3,0.25,11,8,8,0,FALSE,FALSE
1999,6,CAR,FALSE,SF,away,W,5,2,3,0,2-3,0.4,13,8,8,0,FALSE,FALSE
1999,7,CAR,FALSE,DET,home,L,6,2,4,0,2-4,0.3333333333333333,-2,8,8,0,FALSE,FALSE
1999,8,CAR,FALSE,ATL,away,L,7,2,5,0,2-5,0.2857142857142857,-9,8,8,0,FALSE,FALSE
1999,9,CAR,FALSE,PHI,home,W,8,3,5,0,3-5,0.375,17,8,8,0,FALSE,FALSE
1999,10,CAR,FALSE,STL,away,L,9,3,6,0,3-6,0.3333333333333333,-8,8,8,0,FALSE,FALSE
1999,11,CAR,FALSE,CLE,away,W,10,4,6,0,4-6,0.4,6,8,8,0,FALSE,FALSE
1999,12,CAR,FALSE,ATL,home,W,11,5,6,0,5-6,0.45454545454545453,12,8,8,0,FALSE,FALSE
1999,13,CAR,FALSE,STL,home,L,12,5,7,0,5-7,0.4166666666666667,-1,8,8,0,FALSE,FALSE
1999,14,CAR,FALSE,GB,away,W,13,6,7,0,6-7,0.46153846153846156,1,8,8,0,FALSE,FALSE
1999,15,CAR,FALSE,SF,home,W,14,7,7,0,7-7,0.5,18,8,8,0,FALSE,FALSE
1999,16,CAR,FALSE,PIT,away,L,15,7,8,0,7-8,0.4666666666666667,8,8,8,0,FALSE,FALSE
1999,17,CAR,FALSE,NO,home,W,16,8,8,0,8-8,0.5,40,8,8,0,FALSE,FALSE
1999,1,CHI,FALSE,KC,home,W,1,1,0,0,1-0,1,3,6,10,0,FALSE,FALSE
1999,2,CHI,FALSE,SEA,home,L,2,1,1,0,1-1,0.5,2,6,10,0,FALSE,FALSE
1999,3,CHI,FALSE,OAK,away,L,3,1,2,0,1-2,0.3333333333333333,-5,6,10,0,FALSE,FALSE
1999,4,CHI,FALSE,NO,home,W,4,2,2,0,2-2,0.5,-1,6,10,0,FALSE,FALSE
1999,5,CHI,FALSE,MIN,away,W,5,3,2,0,3-2,0.6,1,6,10,0,FALSE,FALSE
1999,6,CHI,FALSE,PHI,home,L,6,3,3,0,3-3,0.5,-3,6,10,0,FALSE,FALSE
1999,7,CHI,FALSE,TB,away,L,7,3,4,0,3-4,0.42857142857142855,-6,6,10,0,FALSE,FALSE
1999,8,CHI,FALSE,WAS,away,L,8,3,5,0,3-5,0.375,-32,6,10,0,FALSE,FALSE
1999,9,CHI,FALSE,GB,away,W,9,4,5,0,4-5,0.4444444444444444,-31,6,10,0,FALSE,FALSE
1999,10,CHI,FALSE,MIN,home,L,10,4,6,0,4-6,0.4,-34,6,10,0,FALSE,FALSE
1999,11,CHI,FALSE,SD,away,W,11,5,6,0,5-6,0.45454545454545453,-31,6,10,0,FALSE,FALSE
1999,12,CHI,FALSE,DET,away,L,12,5,7,0,5-7,0.4166666666666667,-35,6,10,0,FALSE,FALSE
1999,13,CHI,FALSE,GB,home,L,13,5,8,0,5-8,0.38461538461538464,-51,6,10,0,FALSE,FALSE
1999,14,CHI,TRUE,NA,NA,NA,13,5,8,0,5-8,0.38461538461538464,-51,6,10,0,FALSE,FALSE
1999,15,CHI,FALSE,DET,home,W,14,6,8,0,6-8,0.42857142857142855,-33,6,10,0,FALSE,FALSE
1999,16,CHI,FALSE,STL,away,L,15,6,9,0,6-9,0.4,-55,6,10,0,FALSE,FALSE
1999,17,CHI,FALSE,TB,home,L,16,6,10,0,6-10,0.375,-69,6,10,0,FALSE,FALSE
1999,1,CIN,FALSE,TEN,away,L,1,0,1,0,0-1,0,-1,4,12,0,FALSE,FALSE
1999,2,CIN,FALSE,SD,home,L,2,0,2,0,0-2,0,-28,4,12,0,FALSE,FALSE
1999,3,CIN,FALSE,CAR,away,L,3,0,3,0,0-3,0,-52,4,12,0,FALSE,FALSE
1999,4,CIN,FALSE,STL,home,L,4,0,4,0,0-4,0,-80,4,12,0,FALSE,FALSE
1999,5,CIN,FALSE,CLE,away,W,5,1,4,0,1-4,0.2,-79,4,12,0,FALSE,FALSE
1999,6,CIN,FALSE,PIT,home,L,6,1,5,0,1-5,0.16666666666666666,-93,4,12,0,FALSE,FALSE
1999,7,CIN,FALSE,IND,away,L,7,1,6,0,1-6,0.14285714285714285,-114,4,12,0,FALSE,FALSE
1999,8,CIN,FALSE,JAX,home,L,8,1,7,0,1-7,0.125,-145,4,12,0,FALSE,FALSE
1999,9,CIN,FALSE,SEA,away,L,9,1,8,0,1-8,0.1111111111111111,-162,4,12,0,FALSE,FALSE
1999,10,CIN,FALSE,TEN,home,L,10,1,9,0,1-9,0.1,-172,4,12,0,FALSE,FALSE
1999,11,CIN,FALSE,BAL,home,L,11,1,10,0,1-10,0.09090909090909091,-175,4,12,0,FALSE,FALSE
1999,12,CIN,FALSE,PIT,away,W,12,2,10,0,2-10,0.16666666666666666,-168,4,12,0,FALSE,FALSE
1999,13,CIN,FALSE,SF,home,W,13,3,10,0,3-10,0.23076923076923078,-154,4,12,0,FALSE,FALSE
1999,14,CIN,FALSE,CLE,home,W,14,4,10,0,4-10,0.2857142857142857,-138,4,12,0,FALSE,FALSE
1999,15,CIN,TRUE,NA,NA,NA,14,4,10,0,4-10,0.2857142857142857,-138,4,12,0,FALSE,FALSE
1999,16,CIN,FALSE,BAL,away,L,15,4,11,0,4-11,0.26666666666666666,-160,4,12,0,FALSE,FALSE
1999,17,CIN,FALSE,JAX,away,L,16,4,12,0,4-12,0.25,-177,4,12,0,FALSE,FALSE
1999,1,CLE,FALSE,PIT,home,L,1,0,1,0,0-1,0,-43,2,14,0,FALSE,FALSE
1999,2,CLE,FALSE,TEN,away,L,2,0,2,0,0-2,0,-60,2,14,0,FALSE,FALSE
1999,3,CLE,FALSE,BAL,away,L,3,0,3,0,0-3,0,-67,2,14,0,FALSE,FALSE
1999,4,CLE,FALSE,NE,home,L,4,0,4,0,0-4,0,-79,2,14,0,FALSE,FALSE
1999,5,CLE,FALSE,CIN,home,L,5,0,5,0,0-5,0,-80,2,14,0,FALSE,FALSE
1999,6,CLE,FALSE,JAX,away,L,6,0,6,0,0-6,0,-97,2,14,0,FALSE,FALSE
1999,7,CLE,FALSE,STL,away,L,7,0,7,0,0-7,0,-128,2,14,0,FALSE,FALSE
1999,8,CLE,FALSE,NO,away,W,8,1,7,0,1-7,0.125,-123,2,14,0,FALSE,FALSE
1999,9,CLE,FALSE,BAL,home,L,9,1,8,0,1-8,0.1111111111111111,-155,2,14,0,FALSE,FALSE
1999,10,CLE,FALSE,PIT,away,W,10,2,8,0,2-8,0.2,-154,2,14,0,FALSE,FALSE
1999,11,CLE,FALSE,CAR,home,L,11,2,9,0,2-9,0.18181818181818182,-168,2,14,0,FALSE,FALSE
1999,12,CLE,FALSE,TEN,home,L,12,2,10,0,2-10,0.16666666666666666,-180,2,14,0,FALSE,FALSE
1999,13,CLE,FALSE,SD,away,L,13,2,11,0,2-11,0.15384615384615385,-193,2,14,0,FALSE,FALSE
1999,14,CLE,FALSE,CIN,away,L,14,2,12,0,2-12,0.14285714285714285,-209,2,14,0,FALSE,FALSE
1999,15,CLE,FALSE,JAX,home,L,15,2,13,0,2-13,0.13333333333333333,-219,2,14,0,FALSE,FALSE
1999,16,CLE,FALSE,IND,home,L,16,2,14,0,2-14,0.125,-220,2,14,0,FALSE,FALSE
1999,17,CLE,TRUE,NA,NA,NA,16,2,14,0,2-14,0.125,-220,2,14,0,FALSE,FALSE
1999,1,DAL,FALSE,WAS,away,W,1,1,0,0,1-0,1,6,8,8,0,TRUE,FALSE
1999,2,DAL,FALSE,ATL,home,W,2,2,0,0,2-0,1,23,8,8,0,TRUE,FALSE
1999,3,DAL,TRUE,NA,NA,NA,2,2,0,0,2-0,1,23,8,8,0,TRUE,FALSE
1999,4,DAL,FALSE,ARI,home,W,3,3,0,0,3-0,1,51,8,8,0,TRUE,FALSE
1999,5,DAL,FALSE,PHI,away,L,4,3,1,0,3-1,0.75,48,8,8,0,TRUE,FALSE
1999,6,DAL,FALSE,NYG,away,L,5,3,2,0,3-2,0.6,45,8,8,0,TRUE,FALSE
1999,7,DAL,FALSE,WAS,home,W,6,4,2,0,4-2,0.6666666666666666,63,8,8,0,TRUE,FALSE
1999,8,DAL,FALSE,IND,away,L,7,4,3,0,4-3,0.5714285714285714,53,8,8,0,TRUE,FALSE
1999,9,DAL,FALSE,MIN,away,L,8,4,4,0,4-4,0.5,43,8,8,0,TRUE,FALSE
1999,10,DAL,FALSE,GB,home,W,9,5,4,0,5-4,0.5555555555555556,57,8,8,0,TRUE,FALSE
1999,11,DAL,FALSE,ARI,away,L,10,5,5,0,5-5,0.5,53,8,8,0,TRUE,FALSE
1999,12,DAL,FALSE,MIA,home,W,11,6,5,0,6-5,0.5454545454545454,73,8,8,0,TRUE,FALSE
1999,13,DAL,FALSE,NE,away,L,12,6,6,0,6-6,0.5,66,8,8,0,TRUE,FALSE
1999,14,DAL,FALSE,PHI,home,W,13,7,6,0,7-6,0.5384615384615384,76,8,8,0,TRUE,FALSE
1999,15,DAL,FALSE,NYJ,home,L,14,7,7,0,7-7,0.5,75,8,8,0,TRUE,FALSE
1999,16,DAL,FALSE,NO,away,L,15,7,8,0,7-8,0.4666666666666667,68,8,8,0,TRUE,FALSE
1999,17,DAL,FALSE,NYG,home,W,16,8,8,0,8-8,0.5,76,8,8,0,TRUE,FALSE
1999,1,DEN,FALSE,MIA,home,L,1,0,1,0,0-1,0,-17,6,10,0,FALSE,FALSE
1999,2,DEN,FALSE,KC,away,L,2,0,2,0,0-2,0,-33,6,10,0,FALSE,FALSE
1999,3,DEN,FALSE,TB,away,L,3,0,3,0,0-3,0,-36,6,10,0,FALSE,FALSE
1999,4,DEN,FALSE,NYJ,home,L,4,0,4,0,0-4,0,-44,6,10,0,FALSE,FALSE
1999,5,DEN,FALSE,OAK,away,W,5,1,4,0,1-4,0.2,-41,6,10,0,FALSE,FALSE
1999,6,DEN,FALSE,GB,home,W,6,2,4,0,2-4,0.3333333333333333,-20,6,10,0,FALSE,FALSE
1999,7,DEN,FALSE,NE,away,L,7,2,5,0,2-5,0.2857142857142857,-21,6,10,0,FALSE,FALSE
1999,8,DEN,FALSE,MIN,home,L,8,2,6,0,2-6,0.25,-24,6,10,0,FALSE,FALSE
1999,9,DEN,FALSE,SD,away,W,9,3,6,0,3-6,0.3333333333333333,-8,6,10,0,FALSE,FALSE
1999,10,DEN,FALSE,SEA,away,L,10,3,7,0,3-7,0.3,-11,6,10,0,FALSE,FALSE
1999,11,DEN,FALSE,OAK,home,W,11,4,7,0,4-7,0.36363636363636365,-5,6,10,0,FALSE,FALSE
1999,12,DEN,TRUE,NA,NA,NA,11,4,7,0,4-7,0.36363636363636365,-5,6,10,0,FALSE,FALSE
1999,13,DEN,FALSE,KC,home,L,12,4,8,0,4-8,0.3333333333333333,-11,6,10,0,FALSE,FALSE
1999,14,DEN,FALSE,JAX,away,L,13,4,9,0,4-9,0.3076923076923077,-14,6,10,0,FALSE,FALSE
1999,15,DEN,FALSE,SEA,home,W,14,5,9,0,5-9,0.35714285714285715,-8,6,10,0,FALSE,FALSE
1999,16,DEN,FALSE,DET,away,W,15,6,9,0,6-9,0.4,2,6,10,0,FALSE,FALSE
1999,17,DEN,FALSE,SD,home,L,16,6,10,0,6-10,0.375,-4,6,10,0,FALSE,FALSE
1999,1,DET,FALSE,SEA,away,W,1,1,0,0,1-0,1,8,8,8,0,TRUE,FALSE
1999,2,DET,FALSE,GB,home,W,2,2,0,0,2-0,1,16,8,8,0,TRUE,FALSE
1999,3,DET,FALSE,KC,away,L,3,2,1,0,2-1,0.6666666666666666,6,8,8,0,TRUE,FALSE
1999,4,DET,TRUE,NA,NA,NA,3,2,1,0,2-1,0.6666666666666666,6,8,8,0,TRUE,FALSE
1999,5,DET,FALSE,SD,home,L,4,2,2,0,2-2,0.5,-4,8,8,0,TRUE,FALSE
1999,6,DET,FALSE,MIN,home,W,5,3,2,0,3-2,0.6,-2,8,8,0,TRUE,FALSE
1999,7,DET,FALSE,CAR,away,W,6,4,2,0,4-2,0.6666666666666666,13,8,8,0,TRUE,FALSE
1999,8,DET,FALSE,TB,home,W,7,5,2,0,5-2,0.7142857142857143,30,8,8,0,TRUE,FALSE
1999,9,DET,FALSE,STL,home,W,8,6,2,0,6-2,0.75,34,8,8,0,TRUE,FALSE
1999,10,DET,FALSE,ARI,away,L,9,6,3,0,6-3,0.6666666666666666,30,8,8,0,TRUE,FALSE
1999,11,DET,FALSE,GB,away,L,10,6,4,0,6-4,0.6,21,8,8,0,TRUE,FALSE
1999,12,DET,FALSE,CHI,home,W,11,7,4,0,7-4,0.6363636363636364,25,8,8,0,TRUE,FALSE
1999,13,DET,FALSE,WAS,home,W,12,8,4,0,8-4,0.6666666666666666,41,8,8,0,TRUE,FALSE
1999,14,DET,FALSE,TB,away,L,13,8,5,0,8-5,0.6153846153846154,34,8,8,0,TRUE,FALSE
1999,15,DET,FALSE,CHI,away,L,14,8,6,0,8-6,0.5714285714285714,16,8,8,0,TRUE,FALSE
1999,16,DET,FALSE,DEN,home,L,15,8,7,0,8-7,0.5333333333333333,6,8,8,0,TRUE,FALSE
1999,17,DET,FALSE,MIN,away,L,16,8,8,0,8-8,0.5,-1,8,8,0,TRUE,FALSE
1999,1,GB,FALSE,OAK,home,W,1,1,0,0,1-0,1,4,8,8,0,FALSE,FALSE
1999,2,GB,FALSE,DET,away,L,2,1,1,0,1-1,0.5,-4,8,8,0,FALSE,FALSE
1999,3,GB,FALSE,MIN,home,W,3,2,1,0,2-1,0.6666666666666666,-1,8,8,0,FALSE,FALSE
1999,4,GB,TRUE,NA,NA,NA,3,2,1,0,2-1,0.6666666666666666,-1,8,8,0,FALSE,FALSE
1999,5,GB,FALSE,TB,home,W,4,3,1,0,3-1,0.75,2,8,8,0,FALSE,FALSE
1999,6,GB,FALSE,DEN,away,L,5,3,2,0,3-2,0.6,-19,8,8,0,FALSE,FALSE
1999,7,GB,FALSE,SD,away,W,6,4,2,0,4-2,0.6666666666666666,9,8,8,0,FALSE,FALSE
1999,8,GB,FALSE,SEA,home,L,7,4,3,0,4-3,0.5714285714285714,-11,8,8,0,FALSE,FALSE
1999,9,GB,FALSE,CHI,home,L,8,4,4,0,4-4,0.5,-12,8,8,0,FALSE,FALSE
1999,10,GB,FALSE,DAL,away,L,9,4,5,0,4-5,0.4444444444444444,-26,8,8,0,FALSE,FALSE
1999,11,GB,FALSE,DET,home,W,10,5,5,0,5-5,0.5,-17,8,8,0,FALSE,FALSE
1999,12,GB,FALSE,SF,away,W,11,6,5,0,6-5,0.5454545454545454,0,8,8,0,FALSE,FALSE
1999,13,GB,FALSE,CHI,away,W,12,7,5,0,7-5,0.5833333333333334,16,8,8,0,FALSE,FALSE
1999,14,GB,FALSE,CAR,home,L,13,7,6,0,7-6,0.5384615384615384,14,8,8,0,FALSE,FALSE
1999,15,GB,FALSE,MIN,away,L,14,7,7,0,7-7,0.5,10,8,8,0,FALSE,FALSE
1999,16,GB,FALSE,TB,away,L,15,7,8,0,7-8,0.4666666666666667,-9,8,8,0,FALSE,FALSE
1999,17,GB,FALSE,ARI,home,W,16,8,8,0,8-8,0.5,16,8,8,0,FALSE,FALSE
1999,1,IND,FALSE,BUF,home,W,1,1,0,0,1-0,1,17,13,3,0,TRUE,FALSE
1999,2,IND,FALSE,NE,away,L,2,1,1,0,1-1,0.5,14,13,3,0,TRUE,FALSE
1999,3,IND,FALSE,SD,away,W,3,2,1,0,2-1,0.6666666666666666,22,13,3,0,TRUE,FALSE
1999,4,IND,TRUE,NA,NA,NA,3,2,1,0,2-1,0.6666666666666666,22,13,3,0,TRUE,FALSE
1999,5,IND,FALSE,MIA,home,L,4,2,2,0,2-2,0.5,19,13,3,0,TRUE,FALSE
1999,6,IND,FALSE,NYJ,away,W,5,3,2,0,3-2,0.6,22,13,3,0,TRUE,FALSE
1999,7,IND,FALSE,CIN,home,W,6,4,2,0,4-2,0.6666666666666666,43,13,3,0,TRUE,FALSE
1999,8,IND,FALSE,DAL,home,W,7,5,2,0,5-2,0.7142857142857143,53,13,3,0,TRUE,FALSE
1999,9,IND,FALSE,KC,home,W,8,6,2,0,6-2,0.75,61,13,3,0,TRUE,FALSE
1999,10,IND,FALSE,NYG,away,W,9,7,2,0,7-2,0.7777777777777778,69,13,3,0,TRUE,FALSE
1999,11,IND,FALSE,PHI,away,W,10,8,2,0,8-2,0.8,96,13,3,0,TRUE,FALSE
1999,12,IND,FALSE,NYJ,home,W,11,9,2,0,9-2,0.8181818181818182,103,13,3,0,TRUE,FALSE
1999,13,IND,FALSE,MIA,away,W,12,10,2,0,10-2,0.8333333333333334,106,13,3,0,TRUE,FALSE
1999,14,IND,FALSE,NE,home,W,13,11,2,0,11-2,0.8461538461538461,111,13,3,0,TRUE,FALSE
1999,15,IND,FALSE,WAS,home,W,14,12,2,0,12-2,0.8571428571428571,114,13,3,0,TRUE,FALSE
1999,16,IND,FALSE,CLE,away,W,15,13,2,0,13-2,0.8666666666666667,115,13,3,0,TRUE,FALSE
1999,17,IND,FALSE,BUF,away,L,16,13,3,0,13-3,0.8125,90,13,3,0,TRUE,FALSE
1999,1,JAX,FALSE,SF,home,W,1,1,0,0,1-0,1,38,14,2,0,TRUE,FALSE
1999,2,JAX,FALSE,CAR,away,W,2,2,0,0,2-0,1,40,14,2,0,TRUE,FALSE
1999,3,JAX,FALSE,TEN,home,L,3,2,1,0,2-1,0.6666666666666666,39,14,2,0,TRUE,FALSE
1999,4,JAX,FALSE,PIT,away,W,4,3,1,0,3-1,0.75,53,14,2,0,TRUE,FALSE
1999,5,JAX,FALSE,NYJ,away,W,5,4,1,0,4-1,0.8,63,14,2,0,TRUE,FALSE
1999,6,JAX,FALSE,CLE,home,W,6,5,1,0,5-1,0.8333333333333334,80,14,2,0,TRUE,FALSE
1999,7,JAX,TRUE,NA,NA,NA,6,5,1,0,5-1,0.8333333333333334,80,14,2,0,TRUE,FALSE
1999,8,JAX,FALSE,CIN,away,W,7,6,1,0,6-1,0.8571428571428571,111,14,2,0,TRUE,FALSE
1999,9,JAX,FALSE,ATL,away,W,8,7,1,0,7-1,0.875,134,14,2,0,TRUE,FALSE
1999,10,JAX,FALSE,BAL,home,W,9,8,1,0,8-1,0.8888888888888888,137,14,2,0,TRUE,FALSE
1999,11,JAX,FALSE,NO,home,W,10,9,1,0,9-1,0.9,155,14,2,0,TRUE,FALSE
1999,12,JAX,FALSE,BAL,away,W,11,10,1,0,10-1,0.9090909090909091,162,14,2,0,TRUE,FALSE
1999,13,JAX,FALSE,PIT,home,W,12,11,1,0,11-1,0.9166666666666666,176,14,2,0,TRUE,FALSE
1999,14,JAX,FALSE,DEN,home,W,13,12,1,0,12-1,0.9230769230769231,179,14,2,0,TRUE,FALSE
1999,15,JAX,FALSE,CLE,away,W,14,13,1,0,13-1,0.9285714285714286,189,14,2,0,TRUE,FALSE
1999,16,JAX,FALSE,TEN,away,L,15,13,2,0,13-2,0.8666666666666667,162,14,2,0,TRUE,FALSE
